text,label
Que este Ano Novo seja repleto de harmonia,IMPRODUTIVO
Como resolver problema de {tipo_problema} em {contexto}?,PRODUTIVO
Muito obrigado pelo dedicação na projeto,IMPRODUTIVO
Como configurar load balancer para distribuir carga entre múltiplos servidores?,PRODUTIVO
Que este Páscoa seja de muita {qualidade_vida},IMPRODUTIVO
Parabéns pelo inovação da departamento,IMPRODUTIVO
Como implementar feature flags para releases graduais e A/B testing?,PRODUTIVO
Muito grato pela oportunidade de contribuir com crescimento sustentável!,IMPRODUTIVO
Qual o status da solicitação protocolo #67890?,PRODUTIVO
Que temporada seja de muitas {coisas_positivas},IMPRODUTIVO
Falha na migração do CRM durante pico de acesso,PRODUTIVO
Que este feriado seja repleto de alegria,IMPRODUTIVO
Parabéns pelo lançamento da time,IMPRODUTIVO
Preciso urgentemente API REST para lançamento do produto,PRODUTIVO
Como resolver problema de {tipo_problema} em {contexto}?,PRODUTIVO
Como resolver problema de {tipo_problema} em {contexto}?,PRODUTIVO
Prioridade alta: {cliente_importante} reporta {problema_grave},PRODUTIVO
Bloqueador: {funcionalidade_essencial} não funciona,PRODUTIVO
Obrigado pela flexibilidade e compreensão durante o período de adaptação.,IMPRODUTIVO
Desejo a todos um fim de semana repleto de prosperidade,IMPRODUTIVO
Problema de sincronização entre SAP e sistema legado,PRODUTIVO
Desejo uma primavera florida e cheia de novos projetos para toda equipe!,IMPRODUTIVO
Agradeço pela cortesia demonstrada em processo de migração,IMPRODUTIVO
Muito obrigado pelo rápida resposta na implementação,IMPRODUTIVO
Parabéns pelo modernização da empresa,IMPRODUTIVO
Bloqueador: {funcionalidade_essencial} não funciona,PRODUTIVO
Desejo a todos um fim de semana repleto de alegria,IMPRODUTIVO
Sistema dashboard apresentando erro 500 desde ontem,PRODUTIVO
Sistema aplicativo mobile apresentando erro connection refused desde segunda-feira,PRODUTIVO
Emergencial: {processo_negocio} parado por {motivo_tecnico},PRODUTIVO
Quando será liberada versão corrigida de ERP?,PRODUTIVO
Como implementar zero-trust security com autenticação contínua?,PRODUTIVO
Bloqueador: {funcionalidade_essencial} não funciona,PRODUTIVO
Sistema não permite configuração de SLA diferenciado por tipo de cliente.,PRODUTIVO
Desejo a todos um temporada repleto de prosperidade,IMPRODUTIVO
Atualização sobre resolução de erro de sincronização crítico,PRODUTIVO
Gratidão pela parceria sólida e pelo comprometimento demonstrado sempre.,IMPRODUTIVO
Desejo muito alegria em seus projetos,IMPRODUTIVO
Congratulações pelo prêmio recebido,IMPRODUTIVO
Como integrar dashboard com {ferramenta_externa}?,PRODUTIVO
Qual o status da solicitação protocolo #67890?,PRODUTIVO
Desejo felicidade em todas suas jornadas,IMPRODUTIVO
Prioridade máxima: {sistema_core} instável em produção,PRODUTIVO
Preciso exportar dados de madrugada do ERP,PRODUTIVO
Gratidão pela cortesia e qualidade técnica demonstrados,IMPRODUTIVO
Preciso configurar alertas automáticos para produtos com estoque baixo.,PRODUTIVO
Como configurar busca avançada no dashboard?,PRODUTIVO
Sistema não permite configuração de regras de negócio específicas por região.,PRODUTIVO
Preciso de orientação para migração de dados no sistema financeiro,PRODUTIVO
Feliz aniversário da empresa! Que sejam muitos anos de prosperidade!,IMPRODUTIVO
Muito grato pela resolução realizada com dedicação,IMPRODUTIVO
Prioridade máxima: {sistema_core} instável em produção,PRODUTIVO
Sucesso e alegria em tudo que fizer,IMPRODUTIVO
Sistema plataforma apresentando erro connection refused desde segunda-feira,PRODUTIVO
Integração com sistema de telefonia não registra gravações automaticamente.,PRODUTIVO
Muito obrigado pela confiança que permite autonomia responsável!,IMPRODUTIVO
Parabéns pelo inovação da empresa,IMPRODUTIVO
Obrigado pela política de reconhecimento que valoriza bom desempenho!,IMPRODUTIVO
Gostaria de expressar minha gratidão pelo transparência,IMPRODUTIVO
Timeout na importação após hoje cedo de processamento,PRODUTIVO
Meu reconhecimento pelo desenvolvimento excepcional,IMPRODUTIVO
Urgente: deadline em manhã e {impedimento} bloqueia entrega,PRODUTIVO
Feliz Dia das Mães para todas as colaboradoras! Vocês são incríveis!,IMPRODUTIVO
Gratidão pela profissionalismo e agilidade demonstrados,IMPRODUTIVO
Agradeço pela atenção demonstrada em processo de migração,IMPRODUTIVO
Que sua temporada seja especial e produtiva,IMPRODUTIVO
Preciso exportar dados de final de semana do dashboard,PRODUTIVO
Desejo um Dia das Mães abençoado e abençoado,IMPRODUTIVO
Solicitação de instalação de {software} para gerar relatórios mensais,PRODUTIVO
Desejo paz em todas suas iniciativas,IMPRODUTIVO
Sucesso e harmonia em tudo que fizer,IMPRODUTIVO
Quando será liberada versão corrigida de API?,PRODUTIVO
Obrigada por fazer a diferença com atenção,IMPRODUTIVO
Agradeço pela atenção demonstrada em treinamento,IMPRODUTIVO
Timeout na sincronização após manhã de processamento,PRODUTIVO
Quando será liberada versão corrigida de aplicativo mobile?,PRODUTIVO
Desejo uma Páscoa repleta de renovação e momentos especiais em família.,IMPRODUTIVO
Urgente: deadline em segunda-feira e {impedimento} bloqueia entrega,PRODUTIVO
Solicitação de permissão para gerar relatório em módulo de vendas,PRODUTIVO
Parabéns pelo modernização da equipe,IMPRODUTIVO
Preciso de acesso ao área administrativa para gerar relatórios mensais,PRODUTIVO
Como implementar controle de versão para documentos armazenados?,PRODUTIVO
Desejo um Páscoa abençoado e inspirador,IMPRODUTIVO
Que você tenha período abençoada,IMPRODUTIVO
